Title,Published_date,Views,Likes,Dislikes,Comments
Justin Bieber - Afraid To Say (feat. Lauren Walters),2021-04-06T18:18:13Z,888580,45956,0,2687
Justin Bieber - Freedom (with BEAM),2021-04-06T18:18:13Z,1583885,45517,0,1837
"Justin Bieber - All She Wrote (feat. Brandon Love, Chandler Moore)",2021-04-06T18:18:13Z,734234,30475,0,1690
"Justin Bieber - Where Do I Fit In (feat. Tori Kelly, Chandler Moore, Judah Smith)",2021-04-06T18:18:13Z,1428623,50595,0,1989
Justin Bieber - We're In This Together,2021-04-06T18:18:13Z,1163012,45711,0,2550
Justin Bieber - Peaches (TikTok Compilation),2021-04-01T21:56:19Z,2712765,141704,0,4520
Justin Bieber - Holy (Official Live Performance) | Vevo,2021-03-31T16:00:18Z,3638091,131884,0,5601
Justin Bieber - Lonely (Official Live Performance) | Vevo,2021-03-30T16:00:21Z,18578184,414533,0,12716
Justin Bieber - Anyone (Official Live Performance) | Vevo,2021-03-26T16:00:28Z,10409786,229289,0,8798
Justin Bieber - Name (Visualizer) ft. Tori Kelly,2021-03-26T05:26:13Z,2774359,79154,0,3361
Justin Bieber - I Can't Be Myself (Visualizer) ft. Jaden Smith,2021-03-26T05:23:29Z,6211902,134183,0,4422
Justin Bieber - Know No Better (Visualizer) ft. Da Baby,2021-03-26T05:23:26Z,3384231,76516,0,2618
Justin Bieber - Lifetime,2021-03-26T05:23:23Z,9017461,163002,0,7363
Justin Bieber - There She Go (Visualizer) ft. Lil Uzi Vert,2021-03-26T05:23:20Z,7348859,167064,0,11342
Justin Bieber - Wish You Would (Visualizer) ft. Quavo,2021-03-26T05:23:16Z,4763333,87675,0,3910
Justin Bieber - Hold On (Official Live Performance) | Vevo,2021-03-25T16:00:01Z,6963345,235530,0,9498
Justin Bieber - Peaches (Montage),2021-03-24T16:02:53Z,3112363,139346,0,6034
"Justin Bieber - Peaches ft. Daniel Caesar, Giveon (Lyric Video)",2021-03-22T15:58:54Z,13629084,167429,0,5942
Justin Bieber - Peaches (Live with WeTheBand),2021-03-19T04:02:46Z,1288100,76148,0,1623
Justin Bieber - Love You Different (Visualizer) ft. BEAM,2021-03-19T04:00:31Z,8433199,155418,0,5325
Justin Bieber - MLK Interlude (Visualizer),2021-03-19T04:00:30Z,2576902,48248,0,2094
Justin Bieber - 2 Much (Visualizer),2021-03-19T04:00:30Z,11320818,208267,0,6411
"Justin Bieber - Peaches ft. Daniel Caesar, Giveon",2021-03-19T04:00:15Z,659794701,7809230,0,231328
Justin Bieber - Loved By You (Visualizer) ft. Burna Boy,2021-03-19T04:00:13Z,11053762,193987,0,8128
Justin Bieber - Ghost (Visualizer),2021-03-19T04:00:10Z,19689585,264286,0,11950
Justin Bieber - Somebody (Visualizer),2021-03-19T04:00:07Z,11326968,156531,0,5595
Justin Bieber - Off My Face (Visualizer),2021-03-19T04:00:06Z,16240557,259916,0,9480
Justin Bieber - Unstable (Visualizer) ft. The Kid LAROI,2021-03-19T04:00:06Z,14838077,262986,0,7704
Justin Bieber - As I Am (Visualizer) ft. Khalid,2021-03-19T04:00:02Z,19143227,283927,0,9123
Justin Bieber - Die For You (Visualizer) ft. Dominic Fike,2021-03-19T04:00:00Z,10917978,179279,0,8058
Justin Bieber - Deserve You (Visualizer),2021-03-19T04:00:00Z,15781813,215732,0,7698
Justin Bieber - The Making Of 'Hold On' | Vevo Footnotes,2021-03-11T17:00:20Z,902493,48659,0,2547
Justin Bieber - Hold On (Maple Leafs Love Letter),2021-03-10T16:59:58Z,2035157,50944,0,2698
Justin Bieber - Hold On (Visualizer),2021-03-09T17:08:49Z,1248289,64611,0,4314
Justin Bieber - Hold On (Montage),2021-03-08T17:00:21Z,2011337,133934,0,5272
Justin Bieber - Hold On (Live with Jason Kennedy),2021-03-05T05:02:20Z,902885,88375,0,1983
Justin Bieber - Hold On (Lyric Video),2021-03-05T05:00:21Z,24670769,335020,0,10112
Justin Bieber - Hold On,2021-03-05T05:00:16Z,95611621,2047006,0,103152
Justin Bieber - Anyone (On The Road),2021-01-28T17:00:07Z,6567235,277590,0,12564
Justin Bieber - The Making of 'Anyone' | Vevo Footnotes,2021-01-19T17:00:02Z,1877793,75904,0,3717
Justin Bieber - Anyone (Live from NYE),2021-01-05T22:41:34Z,6025762,257935,0,10714
Justin Bieber - Anyone (Lyric Video),2021-01-05T18:22:13Z,6029847,121325,0,6477
Justin Bieber - Anyone (Montage),2021-01-04T17:00:15Z,2460417,133275,0,7021
Justin Bieber - Anyone (Visualizer),2021-01-01T05:00:55Z,2288066,139407,0,6753
