Title,Published_date,Views,Likes,Dislikes,Comments
The Weeknd - Take My Breath (After Hours (Live at SoFi Stadium) (Official Audio),2023-03-03T05:00:03Z,110950,2560,0,62
The Weeknd - Sacrifice (Live at SoFi Stadium) (Official Audio),2023-03-03T05:00:03Z,169981,3624,0,126
The Weeknd - Kiss Land (Live at SoFi Stadium) (Official Audio),2023-03-03T05:00:02Z,57959,1908,0,87
The Weeknd - After Hours (Live at SoFi Stadium) (Official Audio),2023-03-03T05:00:02Z,435959,15283,0,621
The Weeknd - Gasoline (After Hours (Live At SoFi) /Pseudo Video),2023-03-03T05:00:01Z,121868,2546,0,77
The Weeknd - Less Than Zero (Live at SoFi Stadium) (Official Audio),2023-03-03T05:00:00Z,141395,7114,0,424
The Weeknd - Party Monster (Live at SoFi Stadium) (Official Audio),2023-03-03T05:00:00Z,164835,7343,0,346
The Weeknd & Ariana Grande - Die For You (Remix Acapella) [Official Audio],2023-03-02T05:00:31Z,530029,38804,0,1508
a journey @ArianaGrande,2023-02-25T22:33:45Z,170815,15866,0,194
The Weeknd & Ariana Grande - Die For You (Remix) (Official Lyric Video),2023-02-24T05:00:18Z,108471767,1540160,0,35160
The Weeknd: Live at SoFi Stadium - Die For You,2023-02-16T17:00:44Z,2445264,96659,0,2487
The Weeknd - Live At Sofi Stadium Trailer (HBO Concert Special),2023-02-09T19:55:24Z,301354,18054,0,860
"Nothing Is Lost (You Give Me Strength) (From ""Avatar: The Way of Water""/Soundtrack Vers...",2023-01-16T20:00:07Z,3913593,171609,0,3396
is there someone else? video out now,2023-01-12T02:49:43Z,228321,26416,0,339
The Weeknd - Is There Someone Else?,2023-01-07T17:00:02Z,25390587,628768,0,14428
After Hours Til Dawn Tour - First Leg Recap,2023-01-02T18:12:33Z,696381,49090,0,1812
The Weeknd - Nothing Is Lost (You Give Me Strength) (Official Lyric Video),2022-12-16T23:15:20Z,26165384,632921,0,9455
The Weeknd - Nothing Is Lost (You Give Me Strength) (Official Visualizer),2022-12-15T20:00:06Z,3782124,141233,0,5028
Avatar: The Way of Water l Nothing Is Lost (You Give Me Strength) by The Weeknd,2022-12-07T17:03:15Z,1539152,78765,0,2271
12.16.22,2022-12-04T17:52:00Z,261778,32570,0,438
The Idol | Official Teaser 3 | HBO,2022-10-06T19:09:29Z,1058147,43200,0,1532
The Idol | Official Teaser 2 | HBO,2022-08-21T17:06:28Z,1509449,65803,0,2276
"The Weeknd, Summer Walker - Best Friends (Remix)",2022-08-05T04:00:33Z,1689180,69098,0,2109
The Weeknd - How Do I Make You Love Me? (Official Music Video),2022-07-22T16:00:20Z,12746654,340868,0,9865
The Weeknd - How Do I Make You Love Me (Sebastian Ingrosso & Salvatore Ganacci) (Official Audio),2022-07-22T04:00:18Z,745589,31388,0,1101
The Idol | Official Teaser | HBO,2022-07-17T15:27:54Z,2113577,91982,0,3943
The Weeknd - Dawn FM (OPN Remix) (Official Audio),2022-07-08T04:00:04Z,596574,28094,0,1183
