Title,Published_date,Views,Likes,Dislikes,Comments
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios (Lyric Video),2021-11-18T20:43:53Z,4923570,200350,0,5540
Taylor Swift - All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,2021-11-18T01:35:50Z,11184214,482501,0,17078
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Karaoke),2021-11-15T23:22:49Z,1411896,89304,0,2947
Taylor Swift - All Too Well (Taylor's Version) (Karaoke),2021-11-15T23:10:09Z,679632,52957,0,3044
Taylor Swift ft. Chris Stapleton - I Bet You Think About Me (Taylor's Version) (Officia...,2021-11-15T15:00:10Z,53322083,1611922,0,46928
Taylor Swift - All Too Well (10 Minute Version) (Live on Saturday Night Live),2021-11-14T10:37:12Z,20562400,768485,0,20879
Taylor Swift - All Too Well: The Short Film,2021-11-13T00:00:10Z,87608762,4625889,0,130322
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:31Z,82833182,1288651,0,45784
Taylor Swift - Starlight (Taylor's Version) (Lyric Video),2021-11-12T05:00:30Z,3143209,109237,0,2424
Taylor Swift - Red (Taylor's Version) (Lyric Video),2021-11-12T05:00:23Z,31087578,528149,0,11885
Taylor Swift - Run (Taylor's Version) (From The Vault) (Lyric Video) ft. Ed Sheeran,2021-11-12T05:00:22Z,7741837,233762,0,4186
Taylor Swift - Treacherous (Taylor's Version) (Lyric Video),2021-11-12T05:00:22Z,4541142,120656,0,2479
Taylor Swift - We Are Never Ever Getting Back Together (Taylor's Version) (Lyric Video),2021-11-12T05:00:22Z,12715052,355918,0,6042
Taylor Swift - I Almost Do (Taylor's Version) (Lyric Video),2021-11-12T05:00:21Z,5635599,118830,0,2678
Taylor Swift - I Knew You Were Trouble (Taylor's Version) (Lyric Video),2021-11-12T05:00:20Z,11449270,265327,0,5115
Taylor Swift - Stay Stay Stay (Taylor's Version) (Lyric Video),2021-11-12T05:00:19Z,4462139,116091,0,2905
Taylor Swift - The Very First Night (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:19Z,7559356,141681,0,3132
Nothing New (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:17Z,7886956,171809,0,4177
Taylor Swift - Ronan (Taylor's Version) (Lyric Video),2021-11-12T05:00:15Z,2862730,163750,0,5278
Taylor Swift - The Last Time (Taylor's Version) (Lyric Video) ft. Gary Lightbody,2021-11-12T05:00:15Z,6998363,140666,0,3151
Taylor Swift - Message In A Bottle (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:14Z,10712372,170220,0,5315
Taylor Swift - Come Back...Be Here (Taylor's Version) (Lyric Video),2021-11-12T05:00:14Z,6681718,118900,0,2110
